"","Publisher","Dagger","Book review link","Author","Primary isbn10","Price","Primary isbn13","Sunday review link","Date","First chapter link","Contributor","Title","AgeGroup","WeeksOnList"
"543","Putnam",0,NA,"Ace Atkins","698413067",19.32,"9.7807E+12",NA,2017-05-21,NA,"by Ace Atkins","ROBERT B  PARKER S LITTLE WHITE LIES","Teen",1
"544","Random House",0,"https://www.nytimes.com/2017/05/12/books/review/anything-is-possible-elizabeth-strout.html","Elizabeth Strout","812989422",4.32,"9.78081E+12",NA,2017-05-14,NA,"by Elizabeth Strout","ANYTHING IS POSSIBLE","Young Adult",1
"545","St. Martin's",0,NA,"Iris Johansen","1466887222",14.97,"9.78147E+12",NA,2017-05-14,NA,"by Iris Johansen","NO EASY TARGET","Childhood",1
"546","Gallery Books",0,NA,"Kresley Cole","1501120565",8.65,"9.7815E+12",NA,2017-05-14,NA,"by Kresley Cole","WICKED ABYSS","Young Adult",1
"547","Atria",0,NA,"Fredrik Backman","1501160788",16.57,"9.7815E+12",NA,2017-05-14,NA,"by Fredrik Backman","BEARTOWN","Teen",1
"548","Putnam",0,NA,"Stuart Woods","399574212",17.67,"9.7804E+12",NA,2017-05-07,NA,"by Stuart Woods","FAST AND LOOSE","Young Adult",1
"549","Harlequin",0,NA,"Ron Carr","1460396618",19.6,"9.78146E+12",NA,2017-05-07,NA,"by Robyn Carr","ANY DAY NOW","Adult",1
"550","Knopf",0,NA,"Anita Shreve","385350910",18.28,"9.78039E+12",NA,2017-05-07,NA,"by Anita Shreve","THE STARS ARE FIRE","Adult",1
"551","Grand Central",0,NA,"Jeffery Deaver","1455536393",5.15,"9.78146E+12",NA,2017-04-30,NA,"by Jeffery Deaver","THE BURIAL HOUR","Adult",1
"552","Del Rey",0,NA,"Timothy Zahn","345511271",4.47,"9.78035E+12",NA,2017-04-30,NA,"by Timothy Zahn","THRAWN","Young Adult",1
"553","EverAfter Romance",0,NA,"Vi Keeland and Penelope Ward","1942215584",15.81,"9.78194E+12",NA,2017-04-30,NA,"by Vi Keeland and Penelope Ward","MISTER MONEYBAGS","Adult",1
"554","Harper",0,NA,"Anne Hillerman","62391895",3.3,"9.78006E+12",NA,2017-04-30,NA,"by Anne Hillerman","SONG OF THE LION","Young Adult",1
"555","Ballantine",0,NA,"J R Ward","698192982",16.76,"9.7807E+12",NA,2017-04-23,NA,"by J. R. Ward","THE CHOSEN","Adult",1
"556","St. Martin's",0,NA,"Steve Berry","1466862629",19.44,"9.78147E+12",NA,2017-04-23,NA,"by Steve Berry","THE LOST ORDER","Childhood",1
"557","Atlantic Monthly",0,NA,"Donna Leon","802189458",9.95,"9.7808E+12",NA,2017-04-23,NA,"by Donna Leon","EARTHLY REMAINS","Teen",1
"558","Ampersand",0,NA,"Kristen Pro","1633500233",0.8,"9.78163E+12",NA,2017-04-23,NA,"by Kristen Proby","EASY MAGIC","Adult",1
"559","Avon",0,NA,"Lynsay Sands","62468855",12.5,"9.78006E+12",NA,2017-04-16,NA,"by Lynsay Sands","IMMORTAL UNCHAINED","Young Adult",1
"560","EverAfter Romance",0,NA,"Corinne Michaels","1942834217",16.61,"9.78194E+12",NA,2017-04-16,NA,"by Corinne Michaels","SAY I M YOURS","Childhood",1
"561","Berkley",0,NA,"Christine Feehan","399583947",3.12,"9.7804E+12",NA,2017-04-09,NA,"by Christine Feehan","BOUND TOGETHER","Teen",1
"562","Ballantine",0,NA,"Debbie Macomber","553391976",19.8,"9.78055E+12",NA,2017-04-09,NA,"by Debbie Macomber","IF NOT FOR YOU","Childhood",1
"563","Touchstone",0,NA,"J A Jance","1501110810",13.62,"9.7815E+12",NA,2017-04-09,NA,"by J. A. Jance","MAN OVERBOARD","Adult",1
"564","Gallery Books",0,NA,"Catherine Coulter and J T Ellison","1501150359",17.29,"9.7815E+12",NA,2017-04-02,NA,"by Catherine Coulter and J. T. Ellison","THE DEVIL S TRIANGLE","Adult",1
"565","Putnam",0,NA,"Clive Cussler and Justin Scott","399575618",4.83,"9.7804E+12",NA,2017-04-02,NA,"by Clive Cussler and Justin Scott","THE CUTTHROAT","Teen",1
"566","Harper/HarperCollins",0,NA,"Jacqueline Winspear","62436619",17.25,"9.78006E+12",NA,2017-04-02,NA,"by Jacqueline Winspear","IN THIS GRAVE HOUR","Adult",1
"567","Tyndale House",0,NA,"Joel C Rosenberg","None",15.84,"9.7815E+12",NA,2017-04-02,NA,"by Joel C. Rosenberg","WITHOUT WARNING","Childhood",1
"568","Ace",0,NA,"Patricia Briggs","698195817",12.25,"9.7807E+12",NA,2017-03-26,NA,"by Patricia Briggs","SILENCE FALLEN","Adult",1
"569","Berkley",0,NA,"Maya Banks","698176197",4.17,"9.7807E+12",NA,2017-03-26,NA,"by Maya Banks","BRIGHTER THAN THE SUN","Teen",1
"570","ROC",0,NA,"Anne Bishop","698190459",1.19,"9.7807E+12",NA,2017-03-26,NA,"by Anne Bishop","ETCHED IN BONE","Teen",1
"571","St. Martin's",0,NA,"Allison Brennan","1250105277",12.51,"9.78125E+12",NA,2017-03-26,NA,"by Allison Brennan","MAKE THEM PAY","Adult",1
"572","Avon",0,NA,"Jeaniene Frost","62075853",16.08,"9.78006E+12",NA,2017-03-19,NA,"by Jeaniene Frost","INTO THE FIRE","Teen",1
"573","Morrow",0,NA,"Faye Kellerman","62425250",3.97,"9.78006E+12",NA,2017-03-19,NA,"by Faye Kellerman","BONE BOX","Childhood",1
"574","Mira",0,NA,"Susan Mallery","146039643X",13.31,"9.78146E+12",NA,2017-03-19,NA,"by Susan Mallery","A MILLION LITTLE THINGS","Young Adult",1
"575","EverAfter Romance",0,NA,"Tijan","None",8.06,"A00B06XBVL7Q2",NA,2017-03-19,NA,"by Tijan","COLE","Young Adult",1
"576","Kensington",0,NA,"Joanne Fluke","1617732214",7.74,"9.78162E+12",NA,2017-03-19,NA,"by Joanne Fluke","BANANA CREAM PIE MURDER","Adult",1
"577","Valkyrie",0,NA,"Kresley Cole","997215186",1.2,"9.781E+12",NA,2017-03-19,NA,"by Kresley Cole","SHADOW S SEDUCTION","Young Adult",1
"578","Avon",0,NA,"Lisa Kleypas","62371908",8.41,"9.78006E+12",NA,2017-03-12,NA,"by Lisa Kleypas","DEVIL IN SPRING","Teen",1
"579","Del Rey",0,NA,"Chuck Wendig","1101966963",11.02,"9.7811E+12",NA,2017-03-12,NA,"by Chuck Wendig","AFTERMATH   EMPIRE S END","Teen",1
"580","Mira",0,NA,"Pam Jenoff","778319814",16.32,"9.78078E+12",NA,2017-03-12,NA,"by Pam Jenoff","THE ORPHAN S TALE","Adult",1
"581","Waterhouse Press",0,NA,"Helen Hardt","None",16.76,"A00B01LBPLEG6",NA,2017-03-05,NA,"by Helen Hardt","BURN","Young Adult",1
"582","Berkley",0,NA,"Mark Greaney","698406850",0.24,"9.7807E+12",NA,2017-03-05,NA,"by Mark Greaney","GUNMETAL GRAY","Adult",1
"583","Jove",0,NA,"Mary Balogh","698411390",11.45,"9.7807E+12",NA,2017-02-26,NA,"by Mary Balogh","SOMEONE TO HOLD","Adult",1
"584","Dial",0,NA,"Sophie Kinsella","812998278",6.03,"9.78081E+12",NA,2017-02-26,NA,"by Sophie Kinsella","MY NOT SO PERFECT LIFE","Teen",1
"585","Avon",0,NA,"Eloisa James","62389467",0.77,"9.78006E+12",NA,2017-02-19,NA,"by Eloisa James","SEVEN MINUTES IN HEAVEN","Teen",1
"586","Golden Unicorn Enterprises",0,NA,"J S Scott","1939962676",7.17,"9.78194E+12",NA,2017-02-19,NA,"by J. S. Scott","BILLIONAIRE UNKNOWN","Adult",1
"587","Berkley",0,NA,"Jodi Picoult","None",5.35,"9.7811E+12",NA,2017-02-19,NA,"by Jodi Picoult","PICTURE PERFECT","Adult",1
"588","Avon",0,NA,"Lynsay Sands","62273620",19.48,"9.78006E+12",NA,2017-02-19,NA,"by Lynsay Sands","FALLING FOR THE HIGHLANDER","Childhood",1
"589","Zebra",0,NA,"Kat Martin","1420139053",19.02,"9.78142E+12",NA,2017-02-19,NA,"by Kat Martin","INTO THE FIRESTORM","Teen",1
"590","Berkley",0,NA,"Christine Feehan","None",12.32,"9.7804E+12",NA,2017-02-12,NA,"by Christine Feehan","POWER GAME","Adult",1
"591","genreCrave",0,NA,"Gwynn White and various authors","None",19.3,"A00B01MCYGPQM",NA,2017-02-12,NA,"by Gwynn White and various authors","DARK HUMANITY","Young Adult",1
"592","Avon",0,NA,"Jill Shalvis","62448072",17.56,"9.78006E+12",NA,2017-02-12,NA,"by Jill Shalvis","ACCIDENTALLY ON PURPOSE","Young Adult",1
"593","Delacorte",0,NA,"Karen Marie Moning","425284360",2.4,"9.78043E+12",NA,2017-02-05,NA,"by Karen Marie Moning","FEVERSONG","Adult",1
"594","EverAfter Romance",0,NA,"Vi Keeland","1942215568",11.93,"9.78194E+12",NA,2017-02-05,NA,"by Vi Keeland","EGOMANIAC","Adult",1
"595","Romig Works",0,NA,"Aleatha Romig","996839445",7.14,"9.781E+12",NA,2017-02-05,NA,"by Aleatha Romig","FIDELITY","Adult",1
"596","Lauren Blakely",0,NA,"Lauren Blakely","None",13.5,"A00B01MT5HMRV",NA,2017-01-29,NA,"by Lauren Blakely","FULL PACKAGE","Teen",1
"597","Dutton",0,NA,"Brad Taylor","None",12.76,"9.7811E+12",NA,2017-01-29,NA,"by Brad Taylor","RING OF FIRE","Adult",1
"598","Berkley",0,NA,"Karen White",NA,13.94,"9.7807E+12",NA,2017-01-29,NA,"by Karen White","THE GUESTS ON SOUTH BATTERY","Adult",1
"599","Ballantine",0,NA,"Kristin Hannah","345459504",12.5,"9.78035E+12",NA,2017-01-22,NA,"by Kristin Hannah","DISTANT SHORES","Young Adult",1
"600","Berkley",0,NA,"Catherine Anderson","451488024",2.44,"9.78045E+12",NA,2017-01-22,NA,"by Catherine Anderson","MULBERRY MOON","Young Adult",1
"601","Henry Holt",0,"https://www.nytimes.com/2016/04/17/books/review/the-north-water-by-ian-mcguire.html","Ian McGuire","1627795952",5.62,"9.78163E+12",NA,2017-01-22,NA,"by Ian McGuire","THE NORTH WATER","Young Adult",1
"602","Zebra",0,NA,"Fern Michaels","None",3.48,"9.78142E+12",NA,2017-01-15,NA,"by Fern Michaels","CRASH AND BURN","Young Adult",1
"603","Waterhouse",0,NA,"Helen Hardt","None",3.4,"A00B01HFPDRI4",NA,2017-01-08,NA,"by Helen Hardt","MELT","Childhood",1
"604","Morrow/HarperCollins",0,NA,"James Rollins","62381709",11.21,"9.78006E+12",NA,2017-01-01,NA,"by James Rollins","THE SEVENTH PLAGUE","Adult",1
"605","Ballantine",0,NA,"J R Ward","698193288",8.58,"9.7807E+12",NA,2016-12-25,NA,"by J. R. Ward","BLOOD VOW","Young Adult",1
"606","Knopf",0,NA,"Anne Rice","385353790",7.78,"9.78039E+12",NA,2016-12-18,NA,"by Anne Rice","PRINCE LESTAT AND THE REALMS OF ATLANTIS","Teen",1
"607","Harper",0,NA,"Bernard Cornwell","62250825",16.87,"9.78006E+12",NA,2016-12-18,NA,"by Bernard Cornwell","THE FLAME BEARER","Teen",1
"608","Random House",0,NA,"Fannie Flagg","140006595X",4.18,"9.7814E+12",NA,2016-12-18,NA,"by Fannie Flagg","THE WHOLE TOWN S TALKING","Young Adult",1
"609","Del Rey",0,NA,"James Luceno","345511492",10.19,"9.78035E+12",NA,2016-12-04,NA,"by James Luceno","CATALYST","Teen",1
"610","Simon & Schuster",0,NA,"Richard Paul Evans","1501119818",7.9,"9.7815E+12",NA,2016-12-04,NA,"by Richard Paul Evans","THE MISTLETOE SECRET","Adult",1
"611","St. Martin's",0,NA,"Jeffrey Archer","1466867515",5.16,"9.78147E+12",NA,2016-11-27,NA,"by Jeffrey Archer","THIS WAS A MAN","Young Adult",1
"612","Jove",0,NA,"Christine Feehan","None",16.06,"9.7807E+12",NA,2016-11-27,NA,"by Christine Feehan","LEOPARD S FURY","Teen",1
"613","Signet",0,NA,"Mary Balogh","451477790",6.14,"9.78045E+12",NA,2016-11-27,NA,"by Mary Balogh","SOMEONE TO LOVE","Adult",1
"614","Tor",0,NA,"David Weber","1429952113",1.56,"9.78143E+12",NA,2016-11-27,NA,"by David Weber","AT THE SIGN OF TRIUMPH","Teen",1
"615","Avon Impulse",0,NA,"Jill Shalvis","006246356X",18.94,"9.78006E+12",NA,2016-11-27,NA,"by Jill Shalvis","ONE SNOWY NIGHT","Young Adult",1
"616","Berkley",0,NA,"Nalini Singh",NA,7.57,"9.78045E+12",NA,2016-11-20,NA,"by Nalini Singh","ARCHANGEL S HEART","Teen",1
"617","BAAE",0,NA,"Corinne Michaels","1942834209",6.55,"9.78194E+12",NA,2016-11-20,NA,"by Corinne Michaels","SAY YOU WANT ME","Adult",1
"618","Morrow/HarperCollins",0,NA,"Allison Brennan","1250105102",13.3,"9.78125E+12",NA,2016-11-20,NA,"by Allison Brennan","THE LOST GIRLS","Adult",1
"619","Little, Brown",0,NA,"James Patterson and Jeffrey J Keyes","316361534",15.55,"9.78032E+12",NA,2016-11-20,NA,"by James Patterson and Jeffrey J. Keyes","KILLER CHEF","Adult",1
"620","Putnam",0,NA,"Stuart Woods","None",9.68,"9.7804E+12",NA,2016-11-13,NA,"by Stuart Woods","SEX  LIES  AND SERIOUS MONEY","Young Adult",1
"621","Orbit",0,NA,"Brent Weeks","316251313",18.59,"9.78032E+12",NA,2016-11-13,NA,"by Brent Weeks","THE BLOOD MIRROR","Young Adult",1
"622","Howard Books",0,NA,"Karen Kingsbury","1451687567",1,"9.78145E+12",NA,2016-11-13,NA,"by Karen Kingsbury","A BAXTER FAMILY CHRISTMAS","Young Adult",1
"623","DLZ Entertainment",0,NA,"Lexi Blake","1937608530",13.43,"9.78194E+12",NA,2016-11-13,NA,"by Lexi Blake","SUBMISSION IS NOT ENOUGH","Young Adult",1
"624","St. Martin's",0,NA,"Iris Johansen and Roy Johansen","1466887338",16.51,"9.78147E+12",NA,2016-11-13,NA,"by Iris Johansen and Roy Johansen","NIGHT WATCH","Teen",1
"625","Lauren Blakely",0,NA,"Lauren Blakely","None",6.73,"A00B01M9BU7A1",NA,2016-11-06,NA,"by Lauren Blakely","THE SEXY ONE","Childhood",1
"626","Emma Chase",0,NA,"Emma Chase","997426225",18.63,"9.781E+12",NA,2016-11-06,NA,"by Emma Chase","ROYALLY SCREWED","Adult",1
"627","Berkley",0,NA,"Laurell K Hamilton","None",9.68,"9.7811E+12",NA,2016-10-30,NA,"by Laurell K. Hamilton","CRIMSON DEATH","Teen",1
"628","Pantheon",0,NA,"Alexander McCall Smith","1101871369",18.92,"9.7811E+12",NA,2016-10-30,NA,"by Alexander McCall Smith","PRECIOUS AND GRACE","Young Adult",1
"629","Ballantine",0,NA,"Debbie Macomber","553391747",6.23,"9.78055E+12",NA,2016-10-23,NA,"by Debbie Macomber","TWELVE DAYS OF CHRISTMAS","Young Adult",1
"630","Little, Brown",0,NA,"Elin Hilderbrand","316261157",11.98,"9.78032E+12",NA,2016-10-23,NA,"by Elin Hilderbrand","WINTER STORMS","Adult",1
"631","Putnam",0,NA,"WEB Griffin and William E Butterworth","None",17.8,"9.7807E+12",NA,2016-10-23,NA,"by W.E.B. Griffin and William E. Butterworth","BROKEN TRUST","Adult",1
"632","Waterhouse",0,NA,"Helen Hardt","None",12.15,"A00B01EIJC2U4",NA,2016-10-16,NA,"by Helen Hardt","POSSESSION","Adult",1
"633","Elle Kennedy",0,NA,"Elle Kennedy","None",8.81,"9.78099E+12",NA,2016-10-16,NA,"by Elle Kennedy","THE GOAL","Adult",1
"634","HQN",0,NA,"RaeAnne Thayne","1459294947",11.2,"9.78146E+12",NA,2016-10-16,NA,"by RaeAnne Thayne","SNOWFALL ON HAVEN POINT","Teen",1
"635","Mira",0,NA,"Heather Graham","1460395921",18.79,"9.78146E+12",NA,2016-10-16,NA,"by Heather Graham","DARKEST JOURNEY","Young Adult",1
"636","Kensington",0,NA,"Joanne Fluke","161773229X",16.69,"9.78162E+12",NA,2016-10-16,NA,"by Joanne Fluke","CHRISTMAS CARAMEL MURDER","Adult",1
"637","Mira",0,NA,"Ron Carr","1460395956",5.74,"9.78146E+12",NA,2016-10-16,NA,"by Robyn Carr","THE LIFE SHE WANTS","Young Adult",1
"638","Ace",0,NA,"Ilona Andrews","None",16.87,"9.7807E+12",NA,2016-10-09,NA,"by Ilona Andrews","MAGIC BINDS","Young Adult",1
"639","Avon/HarperCollins",0,NA,"Lynsay Sands","62316079",5.18,"9.78006E+12",NA,2016-10-09,NA,"by Lynsay Sands","IMMORTAL NIGHTS","Teen",1
"640","Random House",0,NA,"Alan Bradley","345539982",6.79,"9.78035E+12",NA,2016-10-09,NA,"by Alan Bradley","THRICE THE BRINDED CAT HATH MEW D","Young Adult",1
"641","Putnam",0,NA,"Amy Tan","None",11.14,"9.7811E+12",NA,2016-10-09,NA,"by Amy Tan","THE BONESETTER S DAUGHTER","Adult",1
"642","Viking",0,NA,"Craig Johnson","None",3.76,"9.7807E+12",NA,2016-10-02,NA,"by Craig Johnson","AN OBVIOUS FACT","Young Adult",1
"643","Lauren Blakely",0,NA,"Lauren Blakely","None",10.19,"A00B01LYRXJ0I",NA,2016-10-02,NA,"by Lauren Blakely","WELL HUNG","Teen",1
"644","Putnam",0,NA,"Reed Farrel Coleman","None",18.54,"9.7807E+12",NA,2016-10-02,NA,"by Reed Farrel Coleman","ROBERT B  PARKER S DEBT TO PAY","Childhood",1
"645","Nan A. Talese/Doubleday",0,"https://www.nytimes.com/2016/09/11/books/review/ian-mcewan-nutshell.html","Ian McEwan","385542070",6.14,"9.78039E+12",NA,2016-10-02,NA,"by Ian McEwan","NUTSHELL","Young Adult",1
"646","Morrow/HarperCollins",0,NA,"J A Jance","62297732",7.13,"9.78006E+12",NA,2016-09-25,NA,"by J. A. Jance","DOWNFALL","Adult",1
"647","Berkley",0,NA,"Clare Mackintosh","None",1.14,"9.7811E+12",NA,2016-09-25,NA,"by  Clare Mackintosh","I LET YOU GO","Childhood",1
"648","BookShots",0,NA,"James Patterson with Max DiLallo","316361526",17.69,"9.78032E+12",NA,2016-09-25,NA,"by James Patterson with Max DiLallo","113 MINUTES","Young Adult",1
"649","Farrar, Straus & Giroux",0,"https://www.nytimes.com/2016/09/11/books/review/jonathan-safran-foer-here-i-am.html","Jonathan Safran Foer","374280029",10.24,"9.78037E+12",NA,2016-09-25,NA,"by Jonathan Safran Foer","HERE I AM","Young Adult",1
"650","HQN",0,NA,"Linda Lael Miller","1460394135",16.09,"9.78146E+12",NA,2016-09-18,NA,"by Linda Lael Miller","ALWAYS A COWBOY","Adult",1
"651","Zebra",0,NA,"Fern Michaels","1420140647",4.74,"9.78142E+12",NA,2016-09-18,NA,"by Fern Michaels","FAST AND LOOSE","Teen",1
"652","Avon",0,NA,"Sarah MacLean","62379445",13.74,"9.78006E+12",NA,2016-09-18,NA,"by Sarah MacLean","A SCOT IN THE DARK","Teen",1
"653","Simon & Schuster",0,NA,"James Lee Burke","1501107488",17.21,"9.7815E+12",NA,2016-09-18,NA,"by James Lee Burke","THE JEALOUS KIND","Teen",1
"654","HarperCollins",0,NA,"Susan Elizabeth Phillips","62405632",9,"9.78006E+12",NA,2016-09-11,NA,"by Susan Elizabeth Phillips","FIRST STAR I SEE TONIGHT","Young Adult",1
"655","Ballantine",0,NA,"Kristin Hannah","345459520",3.41,"9.78035E+12",NA,2016-09-11,NA,"by Kristin Hannah","SUMMER ISLAND","Young Adult",1
"656","Avon",0,NA,"Maya Banks","62410172",10.17,"9.78006E+12",NA,2016-09-11,NA,"by Maya Banks","WITH EVERY BREATH","Young Adult",1
"657","St. Martin's",0,NA,"Lisa Scottoline","1250099633",17.4,"9.78125E+12",NA,2016-09-04,NA,"by Lisa Scottoline","DAMAGED","Adult",1
"658","Jamie McGuire",0,NA,"Jamie McGuire","None",0.67,"A00B01GJ5LT0O",NA,2016-09-04,NA,"by Jamie McGuire","A BEAUTIFUL FUNERAL","Adult",1
"659","Blue Bolt",0,NA,"Jasmine Walt and Rebecca Hamilton","None",5.16,"A00B01FT4OAUW",NA,2016-09-04,NA,"by Jasmine Walt and Rebecca Hamilton","SHADOW BORN","Teen",1
"660","Penelope Ward",0,NA,"Penelope Ward","1942215479",18.74,"9.78194E+12",NA,2016-09-04,NA,"by Penelope Ward","NEIGHBOR DEAREST","Young Adult",1
"661","Touchstone",0,NA,"Philippa Gregory","1476758751",12.3,"9.78148E+12",NA,2016-08-28,NA,"by Philippa Gregory","THREE SISTERS  THREE QUEENS","Adult",1
"662","Witness Impulse",0,NA,"J A Jance","62499041",18.99,"9.78006E+12",NA,2016-08-28,NA,"by J. A. Jance","RANDOM ACTS","Adult",1
"663","Morrow/HarperCollins",0,NA,"Kristen Pro","62434780",16.31,"9.78006E+12",NA,2016-08-28,NA,"by Kristen Proby","CLOSE TO YOU","Teen",1
"664","Putnam",0,NA,"Stuart Woods and Parnell Hall","None",0.99,"9.7804E+12",NA,2016-08-21,NA,"by Stuart Woods and Parnell Hall","SMOOTH OPERATOR","Adult",1
"665","Berkley",0,NA,"Christine Feehan","None",6.04,"9.7807E+12",NA,2016-08-21,NA,"by Christine Feehan","DARK CAROUSEL","Childhood",1
"666","BookShots",0,NA,"James Patterson with Michael Ledwidge","031636164X",10.24,"9.78032E+12",NA,2016-08-21,NA,"by James Patterson with Michael Ledwidge","CHASE","Young Adult",1
"667","St. Martin's",0,NA,"Sherrilyn Kenyon","1250092418",14.21,"9.78125E+12",NA,2016-08-21,NA,"by Sherrilyn Kenyon","DRAGONMARK","Adult",1
"668","Jove",0,NA,"Jayne Castle","None",5.69,"9.7807E+12",NA,2016-08-14,NA,"by Jayne Castle","ILLUSION TOWN","Young Adult",1
"669","HQN",0,NA,"Marie Force","1459294920",9.3,"9.78146E+12",NA,2016-08-14,NA,"by Marie Force","FATAL IDENTITY","Young Adult",1
"670","Mira",0,NA,"Ron Carr","1460346769",14.59,"9.78146E+12",NA,2016-08-14,NA,"by Robyn Carr","THE HOUSE ON OLIVE STREET","Teen",1
"671","Mira",0,NA,"Heather Graham","1460395646",2.56,"9.78146E+12",NA,2016-08-14,NA,"by Heather Graham","DEADLY FATE","Childhood",1
"672","Dutton",0,NA,"Linda Fairstein","None",18.69,"9.7811E+12",NA,2016-08-14,NA,"by Linda Fairstein","KILLER LOOK","Young Adult",1
"673","New American Library",0,NA,"J R Ward","None",7.87,"9.7807E+12",NA,2016-08-14,NA,"by J. R. Ward","THE ANGELS  SHARE","Adult",1
"674","St. Martin's",0,NA,"Iris Johansen","1466887214",4.98,"9.78147E+12",NA,2016-08-07,NA,"by Iris Johansen","NIGHT AND DAY","Adult",1
"675","Waterhouse",0,NA,"Helen Hardt","None",18.95,"A00B01EGIKZVU",NA,2016-08-07,NA,"by Helen Hardt","OBSESSION","Young Adult",1
"676","Grand Central",0,NA,"Nicholas Sparks","759527881",16.83,"9.78076E+12",NA,2016-07-31,NA,"by Nicholas Sparks","THE GUARDIAN","Childhood",1
"677","Minotaur",0,NA,"Linda Castillo","1466867272",8.3,"9.78147E+12",NA,2016-07-31,NA,"by Linda Castillo","AMONG THE WICKED","Adult",1
"678","HQN",0,NA,"Susan Mallery","1460394356",17.83,"9.78146E+12",NA,2016-07-31,NA,"by Susan Mallery","DAUGHTERS OF THE BRIDE","Young Adult",1
"679","Kendall Ryan",0,NA,"Kendall Ryan","None",4.13,"A00B01GNLNGZU",NA,2016-07-24,NA,"by Kendall Ryan","HITCHED","Adult",1
"680","BookShots",0,NA,"James Patterson and Emily Raymond","316276405",19,"9.78032E+12",NA,2016-07-24,NA,"by James Patterson and Emily Raymond","LITTLE BLACK DRESS","Young Adult",1
"681","Jove",0,NA,"Christine Feehan","None",9.57,"9.7807E+12",NA,2016-07-17,NA,"by Christine Feehan","SHADOW RIDER","Childhood",1
"682","Bantam",0,NA,"Janet Evanovich and Lee Goldberg","553392786",2.21,"9.78055E+12",NA,2016-07-10,NA,"by Janet Evanovich and Lee Goldberg","THE PURSUIT","Adult",1
"683","Putnam",0,NA,"Stuart Woods","None",12.59,"9.7804E+12",NA,2016-06-26,NA,"by Stuart Woods","DISHONORABLE INTENTIONS","Young Adult",1
"684","Grand Central",0,NA,"Brad Meltzer and Tod Goldberg","1455559504",5.87,"9.78146E+12",NA,2016-06-26,NA,"by Brad Meltzer and Tod Goldberg","THE HOUSE OF SECRETS","Young Adult",1
"685","Random House",0,"https://www.nytimes.com/2016/06/05/books/review/alan-fursts-a-hero-of-france.html","Alan Furst","081299650X",16.61,"9.78081E+12",NA,2016-06-19,NA,"by Alan Furst","A HERO OF FRANCE","Young Adult",1
"686","Zebra",0,NA,"Kat Martin","1420139037",6.56,"9.78142E+12",NA,2016-06-19,NA,"by Kat Martin","INTO THE WHIRLWIND","Young Adult",1
"687","Mira",0,NA,"Heather Graham","1459294149",17.47,"9.78146E+12",NA,2016-06-12,NA,"by Heather Graham","HAUNTED DESTINY","Adult",1
"688","Aurora Rose Reynolds",0,NA,"Aurora Rose Reynolds","None",0.55,"A00B01CF9YVSA",NA,2016-06-12,NA,"by Aurora Rose Reynolds","UNTIL JUNE","Adult",1
"689","Pocket Books",0,NA,"Laura Griffin","1476779287",10.8,"9.78148E+12",NA,2016-06-12,NA,"by Laura Griffin","DEEP DARK","Young Adult",1
"690","Grand Central",0,NA,"Douglas Preston and Lincoln Child","145552588X",9.58,"9.78E+12",NA,2016-06-05,NA,"by Douglas Preston and Lincoln Child","BEYOND THE ICE LIMIT","Adult",1
"691","Denise Grover Swank",0,NA,"Denise Grover Swank","1939996392",17.56,"9.78E+12",NA,2016-06-05,NA,"by Denise Grover Swank","THIRTY SIX AND A HALF MOTIVES","Teen",1
"692","Berkley",0,NA,"Jane Green","None",9.74,"9.78E+12",NA,2016-06-05,NA,"by Jane Green","THE BEACH HOUSE","Young Adult",1
"693","Viking",0,NA,"Craig Johnson","None",4.45,"9.78E+12",NA,2016-06-05,NA,"by Craig Johnson","THE HIGHWAYMAN","Adult",1
"694","Morrow",0,NA,"Linda Howard","62419005",10.18,"9.78E+12",NA,2016-05-29,NA,"by Linda Howard","TROUBLEMAKER","Young Adult",1
"695","Mira",0,NA,"Debbie Macomber","1459254821",0.19,"9.78E+12",NA,2016-05-29,NA,"by Debbie Macomber","16 LIGHTHOUSE ROAD","Teen",1
"696","Del Rey",0,NA,"Claudia Gray","345511360",1.77,"9.78E+12",NA,2016-05-22,NA,"by Claudia Gray","STAR WARS  BLOODLINE","Teen",1
"697","Signet",0,NA,"Mary Balogh","698411323",6.37,"9.78E+12",NA,2016-05-22,NA,"by Mary Balogh","ONLY BELOVED","Young Adult",1
"698","Putnam",0,NA,"Ace Atkins","None",10.91,"9.78E+12",NA,2016-05-22,NA,"by Ace Atkins","ROBERT B  PARKER S SLOW BURN","Young Adult",1
"699","Berkley",0,NA,"Maya Banks","None",6.06,"9.78E+12",NA,2016-05-22,NA,"by Maya Banks","DOMINATED","Young Adult",1
"700","Jove",0,NA,"Christine Feehan","698197755",14.8,"9.78E+12",NA,2016-05-15,NA,"by Christine Feehan","FIRE BOUND","Young Adult",1
"701","HQN",0,NA,"Susan Mallery","1459293894",0.21,"9.78E+12",NA,2016-05-15,NA,"by Susan Mallery","BEST OF MY LOVE","Young Adult",1
"702","St. Martin's Press",0,NA,"Iris Johansen","1466887206",11.97,"9.78E+12",NA,2016-05-15,NA,"by Iris Johansen","HIDE AWAY","Teen",1
"703","Berkley",0,NA,"Marie Force",NA,14.26,"9.78E+12",NA,2016-05-15,NA,"by Marie Force","AIN T SHE SWEET","Teen",1
"704","Kristen Ashley",0,NA,"Kristen Ashley","None",9.32,"9.78E+12",NA,2016-05-08,NA,"by Kristen Ashley","BOUNTY","Adult",1
